
Date,Crop,City,Modal Price
2024-01-15,Rice,Mumbai,45.50
2024-01-30,Rice,Mumbai,46.75
2024-02-15,Rice,Mumbai,47.20
2024-02-28,Rice,Mumbai,48.50
2024-03-15,Rice,Mumbai,49.30
2024-03-30,Rice,Mumbai,50.25
2024-04-15,Rice,Mumbai,51.20
2024-01-15,Rice,Delhi,43.50
2024-01-30,Rice,Delhi,44.25
2024-02-15,Rice,Delhi,45.30
2024-02-28,Rice,Delhi,46.75
2024-03-15,Rice,Delhi,47.50
2024-03-30,Rice,Delhi,48.25
2024-04-15,Rice,Delhi,49.00
2024-01-15,Wheat,Mumbai,35.25
2024-01-30,Wheat,Mumbai,36.50
2024-02-15,Wheat,Mumbai,37.75
2024-02-28,Wheat,Mumbai,38.90
2024-03-15,Wheat,Mumbai,39.50
2024-03-30,Wheat,Mumbai,40.25
2024-04-15,Wheat,Mumbai,41.00
2024-01-15,Wheat,Delhi,33.50
2024-01-30,Wheat,Delhi,34.75
2024-02-15,Wheat,Delhi,35.80
2024-02-28,Wheat,Delhi,36.90
2024-03-15,Wheat,Delhi,37.50
2024-03-30,Wheat,Delhi,38.25
2024-04-15,Wheat,Delhi,39.00
2024-01-15,Maize,Mumbai,25.75
2024-01-30,Maize,Mumbai,26.50
2024-02-15,Maize,Mumbai,27.25
2024-02-28,Maize,Mumbai,28.00
2024-03-15,Maize,Mumbai,28.75
2024-03-30,Maize,Mumbai,29.50
2024-04-15,Maize,Mumbai,30.25
2024-01-15,Maize,Delhi,24.50
2024-01-30,Maize,Delhi,25.25
2024-02-15,Maize,Delhi,26.00
2024-02-28,Maize,Delhi,26.75
2024-03-15,Maize,Delhi,27.50
2024-03-30,Maize,Delhi,28.25
2024-04-15,Maize,Delhi,29.00
2024-01-15,Cotton,Mumbai,75.50
2024-01-30,Cotton,Mumbai,76.75
2024-02-15,Cotton,Mumbai,78.00
2024-02-28,Cotton,Mumbai,79.25
2024-03-15,Cotton,Mumbai,80.50
2024-03-30,Cotton,Mumbai,81.75
2024-04-15,Cotton,Mumbai,83.00
2024-01-15,Cotton,Delhi,73.25
2024-01-30,Cotton,Delhi,74.50
2024-02-15,Cotton,Delhi,75.75
2024-02-28,Cotton,Delhi,77.00
2024-03-15,Cotton,Delhi,78.25
2024-03-30,Cotton,Delhi,79.50
2024-04-15,Cotton,Delhi,80.75
2024-01-15,Sugarcane,Mumbai,3.25
2024-01-30,Sugarcane,Mumbai,3.40
2024-02-15,Sugarcane,Mumbai,3.55
2024-02-28,Sugarcane,Mumbai,3.70
2024-03-15,Sugarcane,Mumbai,3.85
2024-03-30,Sugarcane,Mumbai,4.00
2024-04-15,Sugarcane,Mumbai,4.15
2024-01-15,Sugarcane,Delhi,3.10
2024-01-30,Sugarcane,Delhi,3.25
2024-02-15,Sugarcane,Delhi,3.40
2024-02-28,Sugarcane,Delhi,3.55
2024-03-15,Sugarcane,Delhi,3.70
2024-03-30,Sugarcane,Delhi,3.85
2024-04-15,Sugarcane,Delhi,4.00
2024-01-15,Pulses,Mumbai,85.25
2024-01-30,Pulses,Mumbai,86.50
2024-02-15,Pulses,Mumbai,87.75
2024-02-28,Pulses,Mumbai,89.00
2024-03-15,Pulses,Mumbai,90.25
2024-03-30,Pulses,Mumbai,91.50
2024-04-15,Pulses,Mumbai,92.75
2024-01-15,Pulses,Delhi,82.50
2024-01-30,Pulses,Delhi,83.75
2024-02-15,Pulses,Delhi,85.00
2024-02-28,Pulses,Delhi,86.25
2024-03-15,Pulses,Delhi,87.50
2024-03-30,Pulses,Delhi,88.75
2024-04-15,Pulses,Delhi,90.00
